team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
HaberMetrics,2024-03-28,5,10,12,1,4,14,14,1,1,1,1,1,1,66,60,6,12,4,14
Boba Chette,2024-03-28,9,5,7,1,10,8,9,1,2,10,12,1,1,76,49,27,9,6,11
Bug Monty,2024-03-28,1,1,4,8,7,7,6,5,5,3,8,1,1,57,34,23,13,13,13
FightinHorse&Buggies,2024-03-28,12,12,12,12,14,2,5,5,7,13,14,6,9,123,69,54,1,2,2
Forever Jung,2024-03-28,14,14,14,8,13,10,12,1,9,9,9,6,1,120,85,35,2,1,9
Friends O'Clyde,2024-03-28,6,10,9,1,4,11,13,5,13,8,5,13,1,99,54,45,3,5,4
Haders gonna Hate,2024-03-28,4,5,1,14,11,1,2,5,9,4,7,1,12,76,38,38,9,10,7
Hobo Ken,2024-03-28,1,1,1,1,1,3,1,1,9,6,6,13,1,45,9,36,14,14,8
Mighty Banshees,2024-03-28,3,5,7,1,1,11,11,5,5,13,11,6,1,80,39,41,8,9,5
Nola's Ark,2024-03-28,6,12,4,1,8,5,8,5,4,12,13,6,12,96,44,52,5,8,3
The Flying Rutschmen,2024-03-28,9,1,9,8,1,6,3,14,7,11,10,6,12,97,37,60,4,11,1
Lux Æterna,2024-03-28,9,5,3,1,11,4,4,5,3,5,4,6,9,69,37,32,11,11,10
Ya Gotta Beliebe,2024-03-28,13,5,9,12,4,13,10,5,9,2,2,6,1,91,66,25,6,3,12
Rochelle Rochelle the Musical,2024-03-28,8,1,6,8,8,9,7,5,14,7,3,1,9,86,47,39,7,7,6
HaberMetrics,2024-03-29,7,5,11,5,9,14,13,2,9,3,3,7,1,89,64,25,8,3,11
Boba Chette,2024-03-29,10,5,4,5,9,9,7,2,7,14,14,3,5,94,49,45,6,7,6
Bug Monty,2024-03-29,1,1,3,8,6,12,6,13,12,10,11,7,1,91,37,54,7,11,2
FightinHorse&Buggies,2024-03-29,7,12,9,8,13,1,2,2,12,11,12,7,5,101,52,49,3,6,3
Forever Jung,2024-03-29,14,14,14,8,14,13,14,2,9,9,7,3,5,126,91,35,1,1,7
Friends O'Clyde,2024-03-29,4,9,4,1,1,6,11,2,5,7,5,7,1,63,36,27,12,12,9
Haders gonna Hate,2024-03-29,4,9,4,11,8,3,4,2,4,5,8,1,10,73,43,30,11,9,8
Hobo Ken,2024-03-29,2,1,1,1,1,2,1,1,5,6,4,7,1,33,9,24,14,14,12
Mighty Banshees,2024-03-29,3,5,11,1,1,8,9,2,9,13,10,7,5,84,38,46,10,10,5
Nola's Ark,2024-03-29,4,13,4,5,6,5,10,12,2,8,9,7,10,95,47,48,4,8,4
The Flying Rutschmen,2024-03-29,12,3,9,13,5,7,5,13,8,12,13,7,14,121,54,67,2,5,1
Lux Æterna,2024-03-29,9,3,1,1,12,4,3,2,1,4,2,3,10,55,33,22,13,13,14
Ya Gotta Beliebe,2024-03-29,13,9,13,11,1,10,12,2,3,2,6,3,10,95,69,26,4,2,10
Rochelle Rochelle the Musical,2024-03-29,11,5,4,13,9,11,8,2,14,1,1,1,5,85,61,24,9,4,12
HaberMetrics,2024-03-30,5,1,7,1,12,13,11,8,14,4,5,12,1,94,50,44,5,6,5
Boba Chette,2024-03-30,5,1,4,4,10,7,6,1,2,14,14,3,4,75,37,38,10,9,9
Bug Monty,2024-03-30,1,5,4,4,6,10,10,10,4,6,10,4,9,83,40,43,8,7,6
FightinHorse&Buggies,2024-03-30,11,12,12,9,13,3,7,1,13,5,6,4,4,100,67,33,3,3,11
Forever Jung,2024-03-30,14,14,14,4,14,14,14,10,10,8,9,4,4,133,88,45,1,1,4
Friends O'Clyde,2024-03-30,10,10,9,4,1,9,12,10,8,7,3,12,1,96,55,41,4,5,7
Haders gonna Hate,2024-03-30,2,8,10,9,5,1,2,1,7,2,4,1,9,61,37,24,13,9,12
Hobo Ken,2024-03-30,7,1,1,9,6,6,4,1,4,9,8,12,1,69,34,35,12,11,10
Mighty Banshees,2024-03-30,4,5,7,1,1,8,8,1,4,13,13,4,4,73,34,39,11,11,8
Nola's Ark,2024-03-30,2,10,3,4,6,4,5,8,1,1,1,4,9,58,34,24,14,11,12
The Flying Rutschmen,2024-03-30,11,1,6,9,3,5,3,10,3,12,12,4,14,93,38,55,6,8,1
Lux Æterna,2024-03-30,7,5,1,1,10,2,1,10,11,10,7,4,9,78,27,51,9,14,2
Ya Gotta Beliebe,2024-03-30,13,12,13,9,3,12,13,1,11,11,11,4,13,126,75,51,2,2,2
Rochelle Rochelle the Musical,2024-03-30,9,8,10,9,9,11,9,1,9,3,2,1,4,85,65,20,7,4,14
HaberMetrics,2024-03-31,4,4,10,1,11,13,10,5,14,4,3,10,1,90,53,37,6,6,9
Boba Chette,2024-03-31,2,1,2,5,9,5,2,5,2,12,14,3,3,65,26,39,13,14,8
Bug Monty,2024-03-31,1,1,3,7,7,10,5,13,11,6,11,4,7,86,34,52,7,11,4
FightinHorse&Buggies,2024-03-31,11,13,12,7,10,2,5,1,11,5,8,4,3,92,60,32,5,3,10
Forever Jung,2024-03-31,14,14,14,12,14,14,14,9,9,11,13,4,13,155,96,59,1,1,2
Friends O'Clyde,2024-03-31,10,8,6,5,2,8,11,13,5,7,5,10,3,93,50,43,4,7,6
Haders gonna Hate,2024-03-31,3,8,10,7,3,3,7,1,5,2,4,1,7,61,41,20,14,10,14
Hobo Ken,2024-03-31,5,4,1,12,13,4,4,1,3,9,7,10,1,74,43,31,11,9,11
Mighty Banshees,2024-03-31,6,4,3,3,1,6,9,5,4,14,12,4,3,74,32,42,11,12,7
Nola's Ark,2024-03-31,6,11,6,3,8,9,12,9,1,1,1,4,7,78,55,23,9,4,12
The Flying Rutschmen,2024-03-31,11,1,9,12,3,7,3,9,8,13,10,10,14,110,46,64,3,8,1
Lux Æterna,2024-03-31,6,8,3,1,11,1,1,9,13,8,6,10,7,84,31,53,8,13,3
Ya Gotta Beliebe,2024-03-31,13,11,13,7,5,12,13,5,9,10,9,4,11,122,74,48,2,2,5
Rochelle Rochelle the Musical,2024-03-31,9,7,8,7,5,11,8,1,5,3,2,1,11,78,55,23,9,4,12
HaberMetrics,2024-04-01,2,4,12,1,12,14,9,6,9,4,4,7,1,85,54,31,8,6,11
Boba Chette,2024-04-01,3,1,2,4,9,1,1,6,4,7,12,1,5,56,21,35,14,13,8
Bug Monty,2024-04-01,1,4,5,6,9,8,7,13,14,8,11,7,5,98,40,58,5,11,2
FightinHorse&Buggies,2024-04-01,12,13,13,6,8,2,4,2,8,6,9,4,3,90,58,32,7,3,10
Forever Jung,2024-04-01,14,14,14,12,13,13,14,10,9,13,13,7,12,158,94,64,1,1,1
Friends O'Clyde,2024-04-01,10,10,7,6,2,9,13,13,3,12,5,7,5,102,57,45,4,5,5
Haders gonna Hate,2024-04-01,6,8,10,10,6,6,8,2,6,3,8,1,5,79,54,25,9,6,12
Hobo Ken,2024-04-01,5,2,1,10,13,5,6,1,2,9,5,7,1,67,42,25,13,10,12
Mighty Banshees,2024-04-01,3,4,2,4,1,4,3,10,9,14,14,7,3,78,21,57,10,13,3
Nola's Ark,2024-04-01,9,10,5,1,4,10,12,6,1,1,1,4,5,69,51,18,12,8,14
The Flying Rutschmen,2024-04-01,10,2,8,13,4,7,5,10,13,2,3,14,14,105,49,56,3,9,4
Lux Æterna,2024-04-01,8,4,2,1,9,3,2,6,7,11,7,7,5,72,29,43,11,12,6
Ya Gotta Beliebe,2024-04-01,12,10,11,13,3,11,10,2,4,10,10,4,11,111,70,41,2,2,7
Rochelle Rochelle the Musical,2024-04-01,6,9,8,6,6,12,11,2,12,5,2,1,12,92,58,34,6,3,9
HaberMetrics,2024-04-02,3,6,12,1,9,14,12,4,6,3,3,4,1,78,57,21,10,5,13
Boba Chette,2024-04-02,3,1,3,4,7,2,1,4,2,8,12,1,3,51,21,30,14,13,10
Bug Monty,2024-04-02,1,4,5,6,12,8,7,13,13,9,11,10,3,102,43,59,5,11,2
FightinHorse&Buggies,2024-04-02,9,12,13,7,9,3,5,2,6,7,7,2,3,85,58,27,8,4,11
Forever Jung,2024-04-02,13,14,14,12,11,9,13,13,12,11,12,14,13,161,86,75,1,1,1
Friends O'Clyde,2024-04-02,7,10,6,11,2,7,11,12,3,12,6,10,10,107,54,53,3,7,3
Haders gonna Hate,2024-04-02,7,6,8,7,6,6,9,9,8,4,9,4,3,86,49,37,7,9,8
Hobo Ken,2024-04-02,2,1,1,7,12,1,2,1,5,6,2,10,2,52,26,26,13,12,12
Mighty Banshees,2024-04-02,3,4,2,4,1,4,3,9,9,14,14,4,3,74,21,53,12,13,3
Nola's Ark,2024-04-02,13,13,11,1,8,13,14,4,1,1,1,2,3,85,73,12,8,2,14
The Flying Rutschmen,2024-04-02,9,3,8,12,5,12,6,9,11,2,4,10,14,105,55,50,4,6,6
Lux Æterna,2024-04-02,9,8,4,1,14,4,4,4,4,10,8,4,3,77,44,33,11,10,9
Ya Gotta Beliebe,2024-04-02,12,10,10,14,3,10,10,4,10,13,10,4,11,121,69,52,2,3,5
Rochelle Rochelle the Musical,2024-04-02,6,8,7,7,4,10,8,2,14,5,5,4,11,91,50,41,6,8,7
HaberMetrics,2024-04-03,4,7,12,1,7,10,8,8,9,5,5,3,1,80,49,31,11,7,10
Boba Chette,2024-04-03,2,1,2,3,4,1,1,2,2,9,13,1,3,44,14,30,14,14,12
Bug Monty,2024-04-03,1,4,6,5,10,8,5,12,13,6,10,11,3,94,39,55,6,10,3
FightinHorse&Buggies,2024-04-03,10,12,13,7,9,4,4,2,12,7,2,3,3,88,59,29,9,5,13
Forever Jung,2024-04-03,12,13,14,12,14,9,13,14,14,11,12,14,13,165,87,78,1,1,1
Friends O'Clyde,2024-04-03,7,10,4,9,1,6,7,8,3,10,3,8,7,83,44,39,10,9,7
Haders gonna Hate,2024-04-03,6,4,8,9,8,5,6,7,4,3,8,3,7,78,46,32,12,8,9
Hobo Ken,2024-04-03,2,1,1,7,10,2,2,2,6,8,3,11,1,56,25,31,13,13,10
Mighty Banshees,2024-04-03,9,4,4,5,1,7,9,12,10,14,14,8,3,100,39,61,4,10,2
Nola's Ark,2024-04-03,14,13,11,3,12,14,14,2,1,1,1,2,7,95,81,14,5,2,14
The Flying Rutschmen,2024-04-03,11,3,9,12,4,11,10,8,8,2,6,11,13,108,60,48,3,4,5
Lux Æterna,2024-04-03,8,8,3,1,13,3,3,8,7,12,9,8,7,90,39,51,8,10,4
Ya Gotta Beliebe,2024-04-03,12,10,10,14,3,13,12,2,5,12,10,3,12,118,74,44,2,3,6
Rochelle Rochelle the Musical,2024-04-03,5,8,7,9,4,12,11,1,11,4,7,3,11,93,56,37,7,6,8
HaberMetrics,2024-04-04,5,9,12,1,9,10,9,10,8,6,4,6,1,90,55,35,6,6,8
Boba Chette,2024-04-04,2,1,2,2,6,1,1,2,2,6,13,1,9,48,15,33,14,14,11
Bug Monty,2024-04-04,1,4,5,3,11,7,6,10,12,5,11,11,3,89,37,52,8,11,4
FightinHorse&Buggies,2024-04-04,9,12,13,7,8,2,5,5,13,8,2,3,3,90,56,34,6,5,9
Forever Jung,2024-04-04,11,13,14,12,11,8,13,14,14,12,12,14,13,161,82,79,1,1,1
Friends O'Clyde,2024-04-04,5,9,3,9,1,5,4,8,3,10,4,6,9,76,36,40,11,12,7
Haders gonna Hate,2024-04-04,5,3,8,9,6,6,7,5,4,3,9,3,5,73,44,29,12,9,13
Hobo Ken,2024-04-04,3,4,1,7,9,3,2,2,5,9,6,11,1,63,29,34,13,13,9
Mighty Banshees,2024-04-04,11,4,6,3,2,9,12,10,7,14,14,6,5,103,47,56,4,8,2
Nola's Ark,2024-04-04,14,13,10,3,14,11,14,2,1,1,1,2,5,91,79,12,5,2,14
The Flying Rutschmen,2024-04-04,10,2,9,12,5,14,10,10,9,4,7,11,13,116,62,54,3,4,3
Lux Æterna,2024-04-04,8,7,3,3,11,4,3,8,10,11,8,6,5,87,39,48,9,10,6
Ya Gotta Beliebe,2024-04-04,13,9,10,14,3,11,8,5,6,13,10,6,11,119,68,51,2,3,5
Rochelle Rochelle the Musical,2024-04-04,3,7,6,9,4,13,11,1,10,2,3,3,11,83,53,30,10,7,12
HaberMetrics,2024-04-05,4,7,11,1,8,8,8,10,13,7,7,7,1,92,47,45,6,8,6
Boba Chette,2024-04-05,2,1,1,2,8,1,1,2,2,4,10,1,10,45,16,29,14,14,11
Bug Monty,2024-04-05,1,7,9,2,7,6,7,10,10,5,12,7,2,85,39,46,8,11,5
FightinHorse&Buggies,2024-04-05,12,12,13,6,10,2,5,6,10,8,2,3,6,95,60,35,4,4,10
Forever Jung,2024-04-05,11,13,14,13,14,11,13,14,14,12,14,14,12,169,89,80,1,1,1
Friends O'Clyde,2024-04-05,6,9,5,8,1,5,4,6,3,11,6,7,6,77,38,39,11,12,9
Haders gonna Hate,2024-04-05,8,5,8,8,5,6,9,3,3,2,4,5,4,70,49,21,13,5,13
Hobo Ken,2024-04-05,7,9,2,8,10,3,3,3,9,10,7,12,2,85,42,43,8,9,8
Mighty Banshees,2024-04-05,10,5,5,2,2,8,10,10,7,9,11,5,6,90,42,48,7,9,4
Nola's Ark,2024-04-05,14,13,12,6,13,14,14,3,1,1,1,2,6,100,86,14,3,2,14
The Flying Rutschmen,2024-04-05,8,2,7,11,5,10,6,10,5,6,5,7,12,94,49,45,5,5,6
Lux Æterna,2024-04-05,5,3,3,2,10,4,2,6,12,13,9,7,4,80,29,51,10,13,3
Ya Gotta Beliebe,2024-04-05,12,9,10,14,2,12,12,6,5,14,13,12,12,133,71,62,2,3,2
Rochelle Rochelle the Musical,2024-04-05,3,3,4,11,4,13,11,1,8,3,3,3,10,77,49,28,11,5,12
HaberMetrics,2024-04-06,4,9,12,1,8,7,7,6,11,6,4,6,1,82,48,34,9,7,10
Boba Chette,2024-04-06,1,1,1,3,7,1,1,2,1,3,9,1,9,40,15,25,14,14,12
Bug Monty,2024-04-06,1,7,8,3,10,9,11,6,13,2,5,6,5,86,49,37,7,6,9
FightinHorse&Buggies,2024-04-06,14,12,12,3,12,2,3,13,13,11,11,8,5,119,58,61,3,4,2
Forever Jung,2024-04-06,11,13,14,10,14,12,13,14,10,8,13,13,9,154,87,67,1,1,1
Friends O'Clyde,2024-04-06,8,9,5,10,2,6,5,6,5,14,10,8,11,99,45,54,5,9,4
Haders gonna Hate,2024-04-06,6,5,5,3,6,5,6,6,3,4,3,4,3,59,36,23,13,12,13
Hobo Ken,2024-04-06,5,9,2,9,8,3,2,4,8,9,7,13,2,81,38,43,10,10,8
Mighty Banshees,2024-04-06,9,2,3,2,2,8,10,6,4,10,12,4,8,80,36,44,11,12,7
Nola's Ark,2024-04-06,11,13,11,3,12,14,14,3,1,1,1,2,5,91,78,13,6,2,14
The Flying Rutschmen,2024-04-06,9,2,10,10,5,10,9,12,6,7,5,8,11,104,55,49,4,5,5
Lux Æterna,2024-04-06,7,5,5,3,10,4,4,4,12,12,7,8,3,84,38,46,8,10,6
Ya Gotta Beliebe,2024-04-06,11,7,9,14,1,10,8,6,9,13,13,8,11,120,60,60,2,3,3
Rochelle Rochelle the Musical,2024-04-06,3,2,3,10,4,13,12,1,7,5,2,3,11,76,47,29,12,8,11
HaberMetrics,2024-04-07,2,9,13,1,7,5,5,9,10,5,7,4,1,78,42,36,10,10,10
Boba Chette,2024-04-07,3,1,1,2,10,1,1,1,2,2,2,1,9,36,19,17,14,14,13
Bug Monty,2024-04-07,1,5,4,11,11,11,10,9,14,3,5,7,4,95,53,42,6,4,7
FightinHorse&Buggies,2024-04-07,11,11,10,5,12,2,2,12,12,11,12,7,7,114,53,61,3,4,3
Forever Jung,2024-04-07,14,14,14,13,14,10,13,14,11,8,14,12,9,160,92,68,1,1,1
Friends O'Clyde,2024-04-07,7,11,4,11,3,7,8,5,3,14,10,7,9,99,51,48,5,7,5
Haders gonna Hate,2024-04-07,6,3,4,2,6,4,6,5,4,4,6,4,4,58,31,27,13,13,12
Hobo Ken,2024-04-07,5,9,2,7,8,3,3,5,6,9,3,14,2,76,37,39,11,12,9
Mighty Banshees,2024-04-07,8,5,7,2,3,9,12,9,8,10,10,4,7,94,46,48,7,9,5
Nola's Ark,2024-04-07,11,13,10,5,12,14,13,3,1,1,1,2,4,90,78,12,9,2,14
The Flying Rutschmen,2024-04-07,9,5,10,9,3,12,10,13,13,5,9,13,9,120,58,62,2,3,2
Lux Æterna,2024-04-07,9,5,9,7,9,6,7,4,9,12,7,7,3,94,52,42,7,6,7
Ya Gotta Beliebe,2024-04-07,11,3,7,14,1,8,4,5,5,13,13,7,13,104,48,56,4,8,4
Rochelle Rochelle the Musical,2024-04-07,3,2,3,9,2,13,8,1,7,7,3,3,13,74,40,34,12,11,11
HaberMetrics,2024-04-08,1,8,13,1,7,4,3,8,8,6,8,4,1,72,37,35,11,10,9
Boba Chette,2024-04-08,3,1,1,4,9,1,1,2,2,3,6,2,9,44,20,24,14,14,13
Bug Monty,2024-04-08,2,8,7,11,10,14,12,8,13,2,5,6,4,102,64,38,6,3,8
FightinHorse&Buggies,2024-04-08,10,8,11,7,10,1,2,12,11,12,13,10,6,113,49,64,2,8,2
Forever Jung,2024-04-08,14,14,14,14,14,12,14,14,13,9,14,11,9,166,96,70,1,1,1
Friends O'Clyde,2024-04-08,7,12,5,11,5,6,8,10,4,14,9,11,9,111,54,57,4,4,4
Haders gonna Hate,2024-04-08,6,3,4,2,6,3,6,5,5,5,6,6,6,63,30,33,13,13,11
Hobo Ken,2024-04-08,5,6,2,7,7,5,4,5,7,8,3,14,2,75,36,39,10,11,7
Mighty Banshees,2024-04-08,11,8,10,2,3,9,11,10,5,13,11,4,8,105,54,51,5,4,5
Nola's Ark,2024-04-08,13,13,12,5,13,11,13,2,1,1,1,1,4,90,80,10,8,2,14
The Flying Rutschmen,2024-04-08,8,3,7,7,3,13,10,12,11,6,9,11,12,112,51,61,3,6,3
Lux Æterna,2024-04-08,8,6,7,5,10,6,9,4,8,10,4,6,2,85,51,34,9,6,10
Ya Gotta Beliebe,2024-04-08,12,3,6,13,1,8,4,5,3,11,12,6,12,96,47,49,7,9,6
Rochelle Rochelle the Musical,2024-04-08,4,2,3,7,2,10,7,1,10,4,2,2,14,68,35,33,12,12,11
HaberMetrics,2024-04-09,1,10,13,1,7,4,3,7,7,6,9,4,1,73,39,34,11,11,9
Boba Chette,2024-04-09,2,1,1,3,10,1,1,1,2,2,4,1,9,38,19,19,14,14,13
Bug Monty,2024-04-09,3,6,7,14,11,13,12,9,13,3,5,4,7,107,66,41,5,3,7
FightinHorse&Buggies,2024-04-09,8,6,9,5,12,2,2,13,14,13,13,13,3,113,44,69,4,9,2
Forever Jung,2024-04-09,13,14,14,13,14,12,14,14,12,10,14,11,11,166,94,72,1,1,1
Friends O'Clyde,2024-04-09,6,12,5,9,3,5,7,9,5,12,5,10,11,99,47,52,7,7,5
Haders gonna Hate,2024-04-09,3,2,3,2,6,3,5,5,4,5,8,4,3,53,24,29,13,13,10
Hobo Ken,2024-04-09,7,9,2,11,8,7,8,7,11,11,5,13,3,102,52,50,6,6,6
Mighty Banshees,2024-04-09,13,10,11,3,4,11,13,11,10,14,12,4,7,123,65,58,2,4,4
Nola's Ark,2024-04-09,12,13,11,5,13,9,10,1,1,1,1,1,3,81,73,8,9,2,14
The Flying Rutschmen,2024-04-09,10,2,10,9,5,14,11,12,9,6,10,11,11,120,61,59,3,5,3
Lux Æterna,2024-04-09,9,6,7,5,9,5,6,4,7,8,3,4,2,75,47,28,10,7,11
Ya Gotta Beliebe,2024-04-09,11,2,6,12,1,8,4,5,3,9,11,4,9,85,44,41,8,9,7
Rochelle Rochelle the Musical,2024-04-09,3,2,4,5,2,10,9,1,6,4,2,1,14,63,35,28,12,12,11
HaberMetrics,2024-04-10,1,9,13,1,7,3,3,5,6,7,9,4,1,69,37,32,11,11,10
Boba Chette,2024-04-10,2,1,1,2,10,1,1,2,2,2,3,1,8,36,18,18,14,14,13
Bug Monty,2024-04-10,3,6,10,14,11,13,13,8,14,3,5,4,8,112,70,42,3,3,8
FightinHorse&Buggies,2024-04-10,9,6,8,6,12,2,2,13,11,13,14,13,2,111,45,66,4,9,2
Forever Jung,2024-04-10,14,14,14,13,13,13,14,14,13,8,13,10,11,164,95,69,1,1,1
Friends O'Clyde,2024-04-10,6,12,6,8,3,7,9,8,8,12,7,10,11,107,51,56,6,6,3
Haders gonna Hate,2024-04-10,5,3,3,3,5,4,5,5,3,4,9,7,2,58,28,30,13,13,11
Hobo Ken,2024-04-10,7,9,2,8,8,6,7,5,10,11,4,13,5,95,47,48,7,8,7
Mighty Banshees,2024-04-10,13,8,11,3,3,11,11,11,8,14,12,4,6,115,60,55,2,4,4
Nola's Ark,2024-04-10,12,13,12,8,13,9,12,2,1,1,1,3,6,93,79,14,8,2,14
The Flying Rutschmen,2024-04-10,8,2,9,8,6,12,10,12,7,6,7,10,11,108,55,53,5,5,5
Lux Æterna,2024-04-10,9,9,6,6,9,4,6,4,11,10,6,7,2,89,49,40,10,7,9
Ya Gotta Beliebe,2024-04-10,11,3,4,12,1,8,4,8,5,9,11,9,8,93,43,50,8,10,6
Rochelle Rochelle the Musical,2024-04-10,4,3,4,5,2,10,7,1,4,5,2,1,14,62,35,27,12,12,12
HaberMetrics,2024-04-11,1,9,11,1,6,4,3,5,9,7,11,5,1,73,35,38,11,11,10
Boba Chette,2024-04-11,2,1,1,2,10,1,1,2,2,2,3,1,8,36,18,18,14,14,13
Bug Monty,2024-04-11,4,7,10,14,11,13,13,9,14,6,8,5,10,124,72,52,2,3,4
FightinHorse&Buggies,2024-04-11,9,6,8,7,11,2,2,13,13,14,14,14,2,115,45,70,3,9,1
Forever Jung,2024-04-11,13,14,14,13,13,14,14,14,12,8,13,10,10,162,95,67,1,1,2
Friends O'Clyde,2024-04-11,6,9,4,11,3,7,9,8,6,13,6,10,10,102,49,53,6,6,3
Haders gonna Hate,2024-04-11,4,3,2,3,4,3,4,5,3,3,8,5,2,49,23,26,13,13,12
Hobo Ken,2024-04-11,7,9,2,7,8,6,7,5,10,12,4,13,4,94,46,48,8,7,6
